condition,candidate,selected,eligible,parameters,selection_score,selection_next_observation_kl,test_next_observation_kl,selection_affine_residual_ratio_per_factor,selection_min_permutation_mse_per_factor,max_mean_kl_nats,selection_scope
token_guess,alternative_11,True,True,"{""alpha"":0.96,""strength"":null,""x"":0.28}",0.05025549880255707,0.007829078207389725,0.007344470787559439,"[0.05025549880255707,0.05106792474829046]","[0.00625338049223417,0.00633325732898614]",0.02,training_episodes_only; no activations or test histories used
token_guess,alternative_12,False,False,"{""alpha"":0.96,""strength"":null,""x"":0.52}",0.008942015478625763,0.010809053542707949,,"[0.009059088352146341,0.008942015478625763]","[0.00244176020120333,0.00253554523596344]",0.02,training_episodes_only; no activations or test histories used
reward_both,alternative_1,False,False,"{""alpha"":0.82,""strength"":1.0,""x"":0.4}",0.15031524543982722,0.033341068082749226,,"[0.19120294836818696,0.15031524543982722]","[0.032914078036514624,0.03632612660815635]",0.02,training_episodes_only; no activations or test histories used
reward_both,alternative_2,False,True,"{""alpha"":0.8799999999999999,""strength"":1.0,""x"":0.4}",0.061349596754898005,0.011932075629665214,,"[0.07645633866258761,0.061349596754898005]","[0.012761749647021033,0.014422579406336993]",0.02,training_episodes_only; no activations or test histories used
reward_both,alternative_3,False,True,"{""alpha"":0.9149999999999999,""strength"":1.0,""x"":0.4}",0.0149201475816833,0.0027319483707335126,,"[0.017890343098075575,0.0149201475816833]","[0.002981889728141066,0.0033857016615874195]",0.02,training_episodes_only; no activations or test histories used
reward_both,alternative_4,False,True,"{""alpha"":0.96,""strength"":1.0,""x"":0.4}",0.015334406942398151,0.0029620480199998725,,"[0.01724687324369026,0.015334406942398151]","[0.003101438639077903,0.0034385742946239054]",0.02,training_episodes_only; no activations or test histories used
reward_both,alternative_5,False,True,"{""alpha"":0.94,""strength"":1.0,""x"":0.22000000000000003}",0.015419257729016953,0.007667948080353349,,"[0.015419257729016953,0.046079202705338565]","[0.001064753298563378,0.0025274296561379433]",0.02,training_episodes_only; no activations or test histories used
reward_both,alternative_6,False,False,"{""alpha"":0.94,""strength"":1.0,""x"":0.32}",0.0028260578743941876,0.0013136546950896033,,"[0.0028260578743941876,0.008005243452942986]","[0.00018463659570630645,0.00041691360374154356]",0.02,training_episodes_only; no activations or test histories used
reward_both,alternative_7,False,False,"{""alpha"":0.94,""strength"":1.0,""x"":0.48000000000000004}",0.003020028488744037,0.0011618171183986922,,"[0.003020028488744037,0.007114793483531594]","[0.00019968419535854796,0.00036269873231698646]",0.02,training_episodes_only; no activations or test histories used
reward_both,alternative_8,False,True,"{""alpha"":0.94,""strength"":1.0,""x"":0.5800000000000001}",0.017002660460592477,0.005711023167045032,,"[0.017002660460592477,0.035778002629200306]","[0.0011670421542923715,0.0018620459682870182]",0.02,training_episodes_only; no activations or test histories used
reward_both,alternative_9,True,True,"{""alpha"":0.94,""strength"":0.6,""x"":0.4}",0.25184712914102997,0.014012133987423936,0.013210532150112501,"[0.3480958081989684,0.25184712914102997]","[0.022985849007514114,0.013555130621245394]",0.02,training_episodes_only; no activations or test histories used
reward_both,alternative_10,True,True,"{""alpha"":0.94,""strength"":0.8,""x"":0.4}",0.07488871484243688,0.005287648194904554,0.004915479760986429,"[0.15349588471707262,0.07488871484243688]","[0.010094953318842184,0.003970139401852146]",0.02,training_episodes_only; no activations or test histories used
reward_both,alternative_11,False,False,"{""alpha"":0.94,""strength"":0.0,""x"":0.4}",0.7840299112171297,0.0679045409704648,,"[0.8018322566709816,0.7840299112171297]","[0.10476717205950772,0.09789671821942345]",0.02,training_episodes_only; no activations or test histories used
reward_both,alternative_12,True,True,"{""alpha"":0.94,""strength"":0.5,""x"":0.4}",0.3591611092583971,0.019440111561671053,0.01841577809818635,"[0.45494783777820363,0.3591611092583971]","[0.031018610450391202,0.020246043243690205]",0.02,training_episodes_only; no activations or test histories used
reward_factor_1,alternative_1,False,False,"{""alpha"":0.82,""strength"":1.0,""x"":0.4}",0.1191552647220928,0.03085023891650452,,"[0.13809909440304927,0.1191552647220928]","[0.03515527941016551,0.024165759495068842]",0.02,training_episodes_only; no activations or test histories used
reward_factor_1,alternative_2,True,True,"{""alpha"":0.8799999999999999,""strength"":1.0,""x"":0.4}",0.03961831152915624,0.011316913038445986,0.011251033917206596,"[0.05533197610393257,0.03961831152915624]","[0.014268965375191026,0.008606989960378895]",0.02,training_episodes_only; no activations or test histories used
reward_factor_1,alternative_3,False,False,"{""alpha"":0.9149999999999999,""strength"":1.0,""x"":0.4}",0.008246500604740307,0.002629131250895375,,"[0.013344927529718555,0.008246500604740307]","[0.003417086066166175,0.0019090414540014972]",0.02,training_episodes_only; no activations or test histories used
reward_factor_1,alternative_4,False,False,"{""alpha"":0.96,""strength"":1.0,""x"":0.4}",0.006805381573801839,0.0029051625944234486,,"[0.013847763565627655,0.006805381573801839]","[0.0036365181472024634,0.0017963080833592198]",0.02,training_episodes_only; no activations or test histories used
reward_factor_1,alternative_5,False,False,"{""alpha"":0.94,""strength"":1.0,""x"":0.22000000000000003}",0.009944140487496688,0.013708747146689336,,"[0.03529492527711921,0.009944140487496688]","[0.0018551403497905588,0.0015238951218660508]",0.02,training_episodes_only; no activations or test histories used
reward_factor_1,alternative_6,False,False,"{""alpha"":0.94,""strength"":1.0,""x"":0.32}",0.0015860999057031287,0.0023854308033993176,,"[0.00641893492800043,0.0015860999057031287]","[0.00032630380978548043,0.00023033608198735791]",0.02,training_episodes_only; no activations or test histories used
reward_factor_1,alternative_7,False,False,"{""alpha"":0.94,""strength"":1.0,""x"":0.48000000000000004}",0.0014128379200955615,0.002161114533244313,,"[0.006125807289279225,0.0014128379200955615]","[0.0003255844722185234,0.0001984605180367654]",0.02,training_episodes_only; no activations or test histories used
reward_factor_1,alternative_8,False,False,"{""alpha"":0.94,""strength"":1.0,""x"":0.5800000000000001}",0.007592675899708175,0.010805210601949871,,"[0.03114884732223734,0.007592675899708175]","[0.0017894487948844893,0.001062352781754954]",0.02,training_episodes_only; no activations or test histories used
reward_factor_1,alternative_9,False,False,"{""alpha"":0.94,""strength"":0.6,""x"":0.4}",0.24116846186715443,0.03083887294121,,"[0.24116846186715443,0.5797505932710594]","[0.012041711814450358,0.10038262795548676]",0.02,training_episodes_only; no activations or test histories used
reward_factor_1,alternative_10,True,True,"{""alpha"":0.94,""strength"":0.8,""x"":0.4}",0.0672077431433903,0.016774833004333644,0.016791244064734912,"[0.0672077431433903,0.3228801753728919]","[0.0033433942399765343,0.059547246028159695]",0.02,training_episodes_only; no activations or test histories used
reward_factor_1,alternative_11,False,False,"{""alpha"":0.94,""strength"":0.0,""x"":0.4}",0.7764714940299415,0.09053480502854917,,"[0.7764714940299415,0.930987683084226]","[0.09267727118167914,0.1532506843766634]",0.02,training_episodes_only; no activations or test histories used
reward_factor_1,alternative_12,False,False,"{""alpha"":0.94,""strength"":0.5,""x"":0.4}",0.35007050373003223,0.037734326723691536,,"[0.35007050373003223,0.6723164438983363]","[0.018300113202260618,0.10078417742860422]",0.02,training_episodes_only; no activations or test histories used
